pp,group,random_slider.response,educated_slider.response,bias,bias_select,comment,age,mothertongue,gender,handedness,datastorage,duration_que,duration_study
306,control,2,3,9,high numbers,,31,English,Cis female,right-handed,1,5.66666666666667,95.65
308,control,0,2,7,high numbers,That last section was the most tricky.,30,English,Cis male,left-handed,1,8.7,88.2333333333333
311,guess,1,10,7,high numbers,I tried my best but it wouldn't surprise me if my methods were not completely successful. I hope my answers help you in your research and thank you for the chance to participate.,33,English,Cis male,right-handed,1,11.7,51.3333333333333
313,guess,1,10,7,low numbers,No,20,English,Cis female,right-handed,1,5.91666666666667,87.6666666666667
318,control,1,4,10,high numbers,,28,English,Cis male,right-handed,1,8.28333333333333,92.25
319,guess,2,10,10,high numbers,,29,English,Cis female,right-handed,1,7.81666666666667,53.4166666666667
321,guess,4,7,9,high numbers,,27,English,Cis male,right-handed,1,4.35,39.9666666666667
325,guess,1,10,10,high numbers,Very stimulating,21,English,Cis male,right-handed,1,16.0833333333333,104.533333333333
327,guess,6,8,8,low numbers,,35,English,Cis male,right-handed,1,10.8666666666667,41.25
330,control,2,5,7,high numbers,,21,English,Cis female,right-handed,1,5.76666666666667,58.6333333333333
334,control,3,8,8,high numbers,No.,23,English,Cis female,right-handed,1,5.78333333333333,64.55
335,guess,2,10,10,high numbers,no,33,English,Cis female,right-handed,1,6.38333333333333,51.55
340,control,2,9,7,low numbers,,21,English,Cis female,left-handed,1,3.46666666666667,41.5666666666667
341,guess,1,9,3,low numbers,No everything was clear to me.,33,English,Cis male,right-handed,1,4.2,31.2166666666667
349,guess,4,8,4,high numbers,No comments,31,English,Cis male,right-handed,1,4.7,79.7833333333333
350,control,0,3,10,high numbers,,28,English,Cis female,right-handed,1,5.96666666666667,97.9333333333333
352,control,4,1,1,,"The trials that included exactly 8 numbers with a digit beginning with a 5 or greater were a bit tricky. Because they could have been 501 which wouldn't raise up the average too much especially if the low digits were really low (like 100s, 200s). So that took some guessing when I encountered exactly 8 digits starting with 5 or higher. 



The test itself was very straightforward though.",33,English,Cis male,right-handed,1,8.36666666666667,68.05
353,guess,1,10,7,high numbers,,29,English,Cis male,right-handed,1,2.65,56.9333333333333
355,guess,3,10,10,high numbers,,21,English,Cis female,right-handed,1,3.76666666666667,34.9333333333333
365,guess,4,10,10,high numbers,,29,English,Cis female,right-handed,1,4.18333333333333,51.3
370,control,6,10,10,high numbers,GOOD,29,English,Cis female,right-handed,1,3.13333333333333,56.3666666666667
372,control,2,4,7,high numbers,none,29,English,Cis male,right-handed,1,2.58333333333333,74.9666666666667
375,guess,4,7,7,high numbers,Unclear Expectations: I was unsure what level of accuracy was expected for the educated guess. Providing more context or examples of acceptable estimates would help participants understand the desired level of precision.,34,English,Cis male,right-handed,1,30.1166666666667,73.6666666666667
377,guess,2,7,7,low numbers,Nope. Thank you for doing this,25,English,Cis male,right-handed,1,3.83333333333333,40.65
379,guess,3,8,10,high numbers,I enjoyed this type of survey and would like to participate in a similar survey in the future.,32,English,Cis female,ambidextrous,1,6.96666666666667,54.2166666666667
388,control,4,7,10,high numbers,No comments.,24,English,Cis male,right-handed,1,6.56666666666667,70.4333333333333
390,control,6,7,8,low numbers,none,26,English,Cis male,right-handed,1,5.08333333333333,37.4
397,guess,1,9,10,high numbers,No I thought the study was easy to focus on and complete and had no problems.,25,English,Cis male,right-handed,1,5.61666666666667,46.1666666666667
401,guess,2,4,7,high numbers,at first it was unclear during the first round. but then i figured out what i was doing,34,English,Cis male,right-handed,1,3.85,35.85
403,guess,1,10,5,high numbers,No,34,English,Cis female,right-handed,1,5.76666666666667,38.9333333333333
405,guess,2,10,7,high numbers,,30,English,Cis female,right-handed,1,4.98333333333333,117.75
408,control,2,4,7,high numbers,,29,English,Cis female,right-handed,1,4.36666666666667,60.15
419,guess,1,10,10,low numbers,When first opening the the survey i thought that i would have to physically calculate the answers.,20,English,Cis female,right-handed,1,8.06666666666667,75.9833333333333
422,control,2,3,6,high numbers,no. thanks,30,English,Cis male,right-handed,1,6.66666666666667,129.316666666667
426,control,4,6,10,high numbers,,35,English,Cis female,right-handed,1,4.35,60.2666666666667
427,guess,5,5,7,high numbers,"None.  It was a great study.

",31,English,Cis female,ambidextrous,1,3.73333333333333,47.7833333333333
429,guess,1,9,5,high numbers,i have none,34,English,Cis female,right-handed,1,2.98333333333333,70.1166666666667
431,guess,1,9,9,high numbers,i enjoyed the study,32,English,Cis male,right-handed,1,6.0,109.533333333333
432,control,0,8,10,high numbers,,28,English,Cis male,right-handed,1,7.15,39.5
436,control,3,3,7,high numbers,,30,English,Cis female,right-handed,1,6.75,54.0333333333333
440,control,2,6,9,both high and low numbers,,30,English,Cis male,right-handed,1,3.05,93.8833333333333
441,guess,0,10,2,high numbers,No other comments.,34,English,Cis male,right-handed,1,9.11666666666667,48.8666666666667
443,guess,6,8,8,high numbers,none,35,English,Trans* man,right-handed,1,26.6666666666667,58.0833333333333
447,guess,1,8,7,low numbers,,29,English,Cis male,right-handed,1,6.53333333333333,57.6333333333333
451,control,0,1,10,high numbers,No comment,31,English,Cis female,right-handed,1,18.0166666666667,74.65
