pp,group,random_slider.response,educated_slider.response,bias,bias_select,comment,age,mothertongue,gender,handedness,datastorage,duration_que,duration_study
152,guess,2,9,8,high numbers,,24,English,Cis male,right-handed,1,6.33333333333333,120.033333333333
159,control,4,7,9,high numbers,"At first, I thought I had to determine from the sample if more values were greater than 500 or less than 500 in the first section of the first phase.",21,English,Cis male,right-handed,1,9.45,44.1166666666667
160,guess,0,10,8,high numbers,,27,English,Cis male,right-handed,1,10.9,55.9833333333333
161,control,2,5,3,high numbers,Some numbers were close to each other,23,English,Cis male,right-handed,1,7.28333333333333,118.566666666667
162,guess,5,8,8,low numbers,None.,21,English,Cis female,right-handed,1,7.65,56.5333333333333
167,control,0,2,5,low numbers,none,34,English,Cis female,right-handed,1,3.61666666666667,131.266666666667
168,guess,2,8,8,low numbers,Very interesting study. Curious how many I got correct.,30,English,Cis male,left-handed,1,3.5,83.1833333333333
169,control,1,4,8,high numbers,,30,English,Cis female,right-handed,1,4.66666666666667,163.316666666667
17,control,9,5,10,high numbers,The study was very easy and understandable,20,English,Cis male,right-handed,1,6.56666666666667,68.35
171,control,2,5,8,low numbers,No,20,English,Cis male,right-handed,1,7.8,181.116666666667
172,guess,3,9,6,high numbers,not really.,32,English,Cis male,right-handed,1,8.71666666666667,47.1333333333333
174,guess,0,10,2,high numbers,No,33,English,Cis male,mixed-handed,1,2.85,51.0833333333333
175,control,0,1,7,high numbers,Not applicable,33,English,Cis male,ambidextrous,1,6.98333333333333,102.633333333333
178,guess,1,10,10,high numbers,not at all.,24,English,Cis female,right-handed,1,10.05,126.766666666667
179,control,9,2,8,high numbers,No,27,English,Cis male,right-handed,1,2.43333333333333,51.1833333333333
181,control,0,2,8,high numbers,It did feel like I was biased towards higher numbers and I tried to be conscious of that. Whether or not that was true I'm sure the results will say better than my intuition,33,English,Cis male,right-handed,1,4.68333333333333,87.8833333333333
183,control,1,8,5,high numbers,More clarification about the recommended time frame to spend looking at numbers would be appreciated. I think I spent too long on the first two blocks.,32,English,Cis male,right-handed,1,7.23333333333333,167.35
184,guess,0,10,8,high numbers,,20,English,Cis female,right-handed,1,8.66666666666667,55.1166666666667
187,control,0,1,2,"Numbers like 222, 333, 444 etc.","No further comments, thank you for the opportunity!",33,English,Cis male,right-handed,1,3.71666666666667,82.0
19,control,5,6,8,high numbers,yes at first i did not get clue but i did later,22,English,Trans* man,right-handed,1,8.5,46.8166666666667
195,control,0,10,10,high numbers,,31,English,Cis female,right-handed,1,2.01666666666667,67.5333333333333
196,guess,3,10,10,high numbers,no,23,English,Cis male,ambidextrous,1,20.55,70.9
197,control,0,1,2,"numbers that started in 1,2,8, or 9",No but I think incorporating a bonus to reward good performance would be a good idea,28,English,Cis male,right-handed,1,4.06666666666667,99.5333333333333
199,control,8,8,8,high numbers,,35,English,Cis male,left-handed,1,1.6,31.9333333333333
202,guess,3,8,8,high numbers,Thank you for letting me participate! :),30,English,Cis female,ambidextrous,1,5.41666666666667,51.8833333333333
205,control,1,6,7,high numbers,,35,English,Cis female,right-handed,1,1.93333333333333,52.85
207,control,1,6,10,low numbers,no,21,English,Cis female,left-handed,1,3.75,41.6333333333333
210,guess,2,8,10,high numbers,No further comments,22,English,Cis male,right-handed,1,13.55,63.75
215,control,4,8,7,low numbers,Not really,19,English,Cis female,right-handed,1,4.83333333333333,77.8
216,guess,5,10,5,low numbers,"No, I do not have any further comments. Everything was clear.",22,English,Cis male,right-handed,1,8.68333333333333,49.6333333333333
217,control,0,1,9,high numbers,,32,English,Cis male,right-handed,1,3.91666666666667,86.7166666666667
218,guess,4,7,10,high numbers,"No, I thought it was interesting and undersood the directions.",30,English,Cis female,right-handed,1,2.76666666666667,36.6833333333333
220,guess,1,10,2,high numbers,,24,English,Cis male,right-handed,1,7.3,141.083333333333
221,control,8,6,10,high numbers,I don't think so.,30,English,Cis male,mixed-handed,1,8.16666666666667,119.266666666667
222,guess,3,5,6,high numbers,none,22,English,Cis male,right-handed,1,6.61666666666667,40.6166666666667
227,control,3,5,8,high numbers,everything was clearly understood and i really enjoyed this study,23,English,Cis male,ambidextrous,1,6.61666666666667,53.5333333333333
229,control,1,9,4,high numbers,the numbers were ofte scattered,21,English,Cis male,ambidextrous,1,7.08333333333333,123.466666666667
232,guess,5,8,7,high numbers,no please,22,English,Cis male,mixed-handed,1,12.4833333333333,53.7833333333333
234,guess,9,7,8,low numbers,No,22,English,Prefer not to answer,right-handed,1,7.85,75.2666666666667
235,control,2,6,6,low numbers,I enjoyed the study even though it took a fair amount of time. I appreciated the breaks we were given.,25,English,Cis male,left-handed,1,4.46666666666667,41.4833333333333
238,guess,8,8,5,high numbers,,25,English,Cis male,right-handed,1,5.0,79.3666666666667
240,guess,10,10,10,high numbers,that good,21,English,Cis male,ambidextrous,1,6.38333333333333,72.5833333333333
244,guess,3,9,9,high numbers,none,20,English,Cis female,right-handed,1,6.08333333333333,46.1833333333333
245,control,2,5,10,high numbers,no,27,English,Cis male,right-handed,1,4.33333333333333,53.6166666666667
246,guess,10,10,10,high numbers,none,25,English,Cis male,right-handed,1,3.85,36.4666666666667
248,guess,7,8,8,high numbers,NO,19,English,Cis male,right-handed,1,11.1,61.1833333333333
249,control,1,4,7,high numbers,"It was mentally engaging for me and it took a lot more time than indicated, I was thorough",26,English,Cis female,right-handed,1,23.8,330.566666666667
251,control,0,1,8,high numbers,No problems.,33,English,Cis male,right-handed,1,7.78333333333333,50.5333333333333
255,control,1,1,7,high numbers,,18,English,Cis male,left-handed,1,3.5,44.9333333333333
257,control,3,10,10,low numbers,everything was clear,21,English,Cis female,right-handed,1,7.66666666666667,60.0
258,guess,3,8,7,high numbers,No,30,English,Cis male,right-handed,1,4.0,56.1
259,control,0,5,9,high numbers,No,34,English,Cis male,right-handed,1,7.86666666666667,82.0333333333333
261,control,8,5,8,high numbers,no,23,English,Cis male,right-handed,1,7.05,59.2333333333333
262,guess,9,5,9,high numbers,no,25,English,Cis male,right-handed,1,15.3333333333333,118.766666666667
263,control,2,7,9,low numbers,was seeing low number more than higher one's,24,English,Cis male,right-handed,1,14.3166666666667,51.1333333333333
264,guess,10,10,1,,,29,English,Cis female,right-handed,1,9.78333333333333,58.4333333333333
269,control,2,3,7,high numbers,no,23,English,Cis male,right-handed,1,4.15,37.0333333333333
27,control,1,7,4,low numbers,no all was clear,22,English,Cis female,left-handed,1,5.75,56.2
272,guess,8,9,9,high numbers,no comments,25,English,Cis male,right-handed,1,6.23333333333333,38.75
276,guess,9,9,9,high numbers,,33,English,Cis male,left-handed,1,5.03333333333333,34.3333333333333
279,control,1,2,8,high numbers,The instructions were easy to understand. Everything was clear,33,English,Cis male,right-handed,1,68.55,131.8
280,guess,1,10,5,high numbers,No,33,English,Cis male,right-handed,1,4.71666666666667,45.05
281,control,5,8,9,low numbers,no please the survey was clear,23,English,Cis male,right-handed,1,7.31666666666667,38.4833333333333
283,control,4,7,5,high numbers,no comment,29,English,Cis male,right-handed,1,8.88333333333333,62.7666666666667
285,control,6,7,8,low numbers,it was clear,23,English,Trans* woman,right-handed,1,4.96666666666667,41.8166666666667
287,control,5,3,5,high numbers,"Was just a little confused from the beginning, but through the study, I believe I figured it out. It was a nice experience and I enjoyed it.",34,English,Cis male,right-handed,1,10.2833333333333,91.3333333333333
288,guess,5,3,10,high numbers,no,25,English,Cis female,right-handed,1,4.9,62.0166666666667
289,control,3,6,7,low numbers,No comments.,34,English,Cis male,left-handed,1,29.9166666666667,65.1333333333333
29,control,2,5,7,high numbers,,21,English,Cis male,right-handed,1,5.51666666666667,53.3
291,control,3,5,9,low numbers,"No, the study was clear.",25,English,Cis male,right-handed,1,5.61666666666667,67.95
294,guess,9,9,9,low numbers,"No, the instructions were clear and then it was successful",29,English,Cis female,right-handed,1,12.3666666666667,44.95
295,control,0,3,10,low numbers,no,25,English,Cis female,right-handed,1,4.0,49.0666666666667
297,control,1,9,7,high numbers,I enjoyed the study very much.,32,English,Cis female,left-handed,1,5.81666666666667,53.0166666666667
299,control,5,8,7,low numbers,The study was clear and understandable.,26,English,Cis male,right-handed,1,8.86666666666667,43.1333333333333
301,control,1,10,8,high numbers,no,22,English,Cis male,right-handed,1,5.1,43.4166666666667
306,guess,2,5,7,high numbers,no,26,English,Cis male,right-handed,1,5.91666666666667,49.7666666666667
309,control,1,7,10,high numbers,no,25,English,Cis male,mixed-handed,1,9.6,48.3833333333333
311,control,7,8,9,high numbers,no comment,34,English,Cis male,right-handed,1,5.08333333333333,53.9666666666667
312,guess,2,9,8,high numbers,It was a fun and engaging study,33,English,Cis female,left-handed,1,7.51666666666667,55.5
313,control,1,5,7,high numbers,NO,21,English,Cis female,right-handed,1,4.81666666666667,41.4166666666667
317,control,4,9,8,high numbers,,22,English,Cis male,right-handed,1,8.56666666666667,77.1
318,guess,7,1,8,high numbers,No,22,English,Cis female,right-handed,1,13.8833333333333,67.8833333333333
32,guess,1,8,5,high numbers,no comment,23,English,Cis male,right-handed,1,10.9833333333333,62.2833333333333
320,guess,3,8,8,high numbers,I enjoyed the study,30,English,Cis female,right-handed,1,6.93333333333333,141.933333333333
322,guess,2,3,8,high numbers,,32,English,Cis female,right-handed,1,9.5,100.766666666667
324,guess,3,8,7,high numbers,no,24,English,Cis male,right-handed,1,4.33333333333333,44.45
326,guess,7,10,9,high numbers,I would like more clearity on the purpose of his sudy.,29,English,Cis female,mixed-handed,1,8.85,53.9
329,control,3,7,9,high numbers,,33,English,Cis male,right-handed,1,7.06666666666667,44.6833333333333
330,guess,8,2,6,high numbers,No,21,English,Cis male,right-handed,1,8.68333333333333,99.0666666666667
333,control,6,7,7,high numbers,,26,English,Cis female,right-handed,1,16.8333333333333,69.6666666666667
335,control,1,4,8,high numbers,Nothing was unclear. I appreciated the tip to check the first digit of the numbers (above or below 5).,30,English,Cis female,right-handed,1,7.35,73.2666666666667
341,control,4,5,4,high numbers,The study was very interactive,22,English,Cis male,right-handed,1,6.13333333333333,199.433333333333
342,guess,4,7,2,high numbers,no comments,34,English,Cis male,right-handed,1,6.88333333333333,158.3
345,control,4,6,10,high numbers,,33,English,Cis male,right-handed,1,13.2833333333333,108.033333333333
346,guess,3,7,8,low numbers,,35,English,Cis female,right-handed,1,7.16666666666667,133.9
347,control,1,6,7,high numbers,no comments,25,English,Cis female,right-handed,1,12.7,40.5833333333333
348,guess,4,6,9,high numbers,,33,English,Cis female,mixed-handed,1,10.2333333333333,65.45
35,control,7,8,8,high numbers,,32,English,Cis female,left-handed,1,3.7,74.4166666666667
351,control,2,4,8,low numbers,"No, not at all",28,English,Cis male,right-handed,1,6.65,57.3833333333333
352,guess,4,7,8,low numbers,"NO, everything seems good to me.",33,English,Cis male,right-handed,1,9.21666666666667,45.6666666666667
354,guess,2,7,8,high numbers,No,18,English,Cis male,right-handed,1,6.18333333333333,79.6
355,control,0,5,9,high numbers,No.,35,English,Cis female,right-handed,1,7.2,103.2
36,guess,0,9,8,low numbers,no,31,English,Cis male,right-handed,1,3.26666666666667,39.5666666666667
360,guess,1,8,7,high numbers,No comments,35,English,Cis female,right-handed,1,19.2833333333333,117.783333333333
361,control,1,5,4,high numbers,,25,English,Cis female,mixed-handed,1,12.0333333333333,64.3833333333333
362,guess,2,8,7,high numbers,NO,23,English,Cis male,right-handed,1,12.1833333333333,88.5833333333333
366,guess,7,8,9,high numbers,"Overall, the instructions were clear, particularly regarding the approach of making educated guesses. However, if there was any ambiguity, it might have been in determining how much detail or reasoning was expected before guessing.",22,English,Cis male,right-handed,1,5.68333333333333,59.0
371,control,8,3,9,high numbers,everything was clear and I have no doubts about the task given.,26,English,Cis male,right-handed,1,3.96666666666667,65.9666666666667
372,guess,1,9,8,high numbers,No comment.,34,English,Cis female,right-handed,1,19.1,86.8833333333333
373,control,1,6,7,high numbers,,31,English,Cis male,left-handed,1,4.41666666666667,57.3666666666667
374,guess,7,10,9,high numbers,No comment,22,English,Cis male,right-handed,1,10.6166666666667,96.0333333333333
375,control,7,6,6,high numbers,everything was clear and understandable,24,English,Cis male,mixed-handed,1,4.81666666666667,54.9333333333333
377,control,3,10,10,high numbers,,26,English,Cis female,right-handed,1,7.75,55.3666666666667
378,guess,5,7,7,low numbers,very hard but also fun to test your brain,27,English,Cis male,right-handed,1,8.36666666666667,45.4833333333333
38,guess,5,10,9,high numbers,"None, great task",22,English,Cis male,ambidextrous,1,9.43333333333333,74.3333333333333
380,guess,8,10,7,high numbers,No. I almost understood everything.,33,English,Cis female,right-handed,1,7.26666666666667,65.0333333333333
381,control,7,7,7,high numbers,none,35,English,Cis male,right-handed,1,5.4,35.0
382,guess,2,9,8,high numbers,Nio comments,33,English,Cis male,right-handed,1,10.4333333333333,63.2666666666667
384,guess,1,4,5,high numbers,no,22,English,Cis male,right-handed,1,4.65,110.616666666667
385,control,8,7,6,high numbers,"No, but i really wanna know the purpose of the study in detail.",25,English,Cis male,right-handed,1,7.23333333333333,42.9
386,guess,2,8,10,high numbers,The study was great. No errors,34,English,Cis male,right-handed,1,7.21666666666667,64.1
387,control,3,5,10,high numbers,,31,English,Cis female,right-handed,1,8.73333333333333,40.6666666666667
392,guess,3,7,7,low numbers,,22,English,Cis female,right-handed,1,19.9,57.8333333333333
393,control,9,5,6,low numbers,,26,English,Cis female,right-handed,1,12.0833333333333,52.2333333333333
394,guess,5,9,7,low numbers,no,33,English,Cis male,right-handed,1,3.31666666666667,40.7
395,control,4,8,7,low numbers,,35,English,Cis male,right-handed,1,4.25,42.1333333333333
397,control,4,8,8,high numbers,nO,27,English,Cis female,right-handed,1,8.11666666666667,40.3166666666667
398,guess,0,8,8,high numbers,"none, it was clear",32,English,Cis male,left-handed,1,4.38333333333333,56.4
399,control,3,1,8,high numbers,good,21,English,Cis female,left-handed,1,5.45,42.25
401,control,6,3,4,low numbers,"No, this was a pretty fun study, actually.",26,English,Cis male,right-handed,1,11.1,118.266666666667
402,guess,4,8,9,low numbers,I think the study is very educative,25,English,Cis male,right-handed,1,4.01666666666667,33.8833333333333
406,guess,1,10,9,high numbers,,28,English,Cis male,right-handed,1,7.65,52.6833333333333
407,control,0,10,1,,nope,26,English,Cis male,right-handed,1,3.43333333333333,48.1666666666667
409,control,0,1,10,high numbers,Everything was clear and I understood the instructions fully.,30,English,Cis male,left-handed,1,3.98333333333333,54.0833333333333
410,guess,1,10,6,high numbers,No,21,English,Cis male,right-handed,1,8.25,
412,guess,3,9,8,high numbers,,28,English,Cis male,right-handed,1,7.23333333333333,41.4166666666667
413,control,0,9,9,high numbers,NO i understood everying,32,English,Cis female,right-handed,1,2.38333333333333,43.6833333333333
418,guess,10,10,1,,no,31,English,Cis male,right-handed,1,6.68333333333333,58.85
420,guess,0,10,9,high numbers,no,23,English,Cis female,right-handed,1,3.38333333333333,65.8
421,control,9,9,3,high numbers,,23,English,Cis male,right-handed,1,6.58333333333333,105.483333333333
429,control,2,6,8,high numbers,,30,English,Cis female,right-handed,1,3.76666666666667,80.0833333333333
431,control,0,1,1,,No the study was clear for me.,30,English,Cis male,right-handed,1,7.83333333333333,118.266666666667
433,control,4,6,7,high numbers,"This was interesting. I did not quite understand the best strategy in the first round, but I picked up a strategy as the trials went on.",30,English,Cis male,right-handed,1,4.13333333333333,54.1833333333333
436,guess,0,9,7,high numbers,No.,28,English,Cis female,right-handed,1,4.21666666666667,58.5166666666667
437,control,1,9,8,100s and 800s,no it was fine,31,English,Cis male,right-handed,1,4.1,108.1
438,guess,2,8,10,low numbers,,24,English,Cis female,right-handed,1,3.53333333333333,42.35
439,control,0,9,8,high numbers,,26,English,Cis male,right-handed,1,3.01666666666667,64.5833333333333
440,guess,0,9,7,high numbers,"At times numbers could be almost thesame, both greater and less than five hundread and so it was quite difficult to guess if it was greater or less than five hundread",24,English,Cis female,right-handed,1,15.4666666666667,60.5333333333333
441,control,10,10,10,high numbers,,26,English,Cis female,right-handed,1,8.01666666666667,86.8833333333333
442,guess,8,1,8,high numbers,I believe I do not have any questions. Everything was clear from the instructions that you provided,27,English,Cis female,right-handed,1,12.9166666666667,50.9333333333333
444,guess,2,8,10,high numbers,"It's an interesting study, It really helped me freshen up my mind. The instructions were all understandable",22,English,Cis female,right-handed,1,10.4,44.2333333333333
445,control,3,7,7,high numbers,no comment,27,English,Cis male,right-handed,1,17.15,95.8833333333333
45,control,3,10,1,,No,29,English,Cis female,right-handed,1,5.61666666666667,42.4333333333333
452,guess,3,7,8,high numbers,No,29,English,Cis female,right-handed,1,8.6,58.3166666666667
456,guess,0,6,10,low numbers,,29,English,Cis female,right-handed,1,4.23333333333333,38.4
457,control,1,4,9,high numbers,"at first i misunderstood the task, i thought that one number would flash momentarly.",25,English,Cis female,right-handed,1,4.85,53.4
458,guess,2,10,10,high numbers,,28,English,Cis male,right-handed,1,6.6,78.7333333333333
459,control,2,1,7,high numbers,no,26,English,Cis male,right-handed,1,7.56666666666667,76.4166666666667
46,guess,7,7,9,high numbers,I realized that the previous set of numbers were different from the next one,34,English,Cis female,right-handed,1,17.6333333333333,158.283333333333
460,guess,1,9,9,low numbers,Everything worked well and made sense. Thanks!,31,English,Cis male,right-handed,1,6.06666666666667,50.7
464,guess,5,7,8,high numbers,,21,English,Cis female,right-handed,1,13.45,64.3833333333333
467,control,4,9,7,low numbers,No comment,26,English,Cis female,right-handed,1,8.2,51.6
468,guess,3,10,10,high numbers,THE INSTRUCTIONS WERE CLEAR AND I FOLLOWED THEM WHILE USING MY INSTINCTS,26,English,Cis male,right-handed,1,9.95,51.65
469,control,8,6,10,high numbers,"Thanks for the study it was very interesting! I greatly appreciated the breaks we could take between blocks, that helped improved my concentration on the task.",27,English,Cis male,right-handed,1,4.26666666666667,71.8
472,guess,3,9,7,low numbers,The study was very clear and i understood everything,33,English,Nonbinary,right-handed,1,7.48333333333333,54.5166666666667
473,control,0,5,10,high numbers,none,24,English,Cis female,right-handed,1,7.5,35.75
476,guess,4,9,6,low numbers,,22,English,Cis female,right-handed,1,13.3166666666667,68.5166666666667
478,guess,3,8,10,high numbers,,26,English,Cis female,right-handed,1,14.4833333333333,56.9833333333333
479,control,0,0,10,high numbers,"I will message on Prolific as well, but I found the survey to be terribly long and tedious to count up 16 big numbers, add them and divide them for so many hours just for 10 dollars. I'm hoping this is an error that will be fixed because this was no joke a lot of brain juice to use for such a little reward. Thank you for consideration.",22,English,Cis female,right-handed,1,4.0,97.3
481,control,2,8,7,high numbers,,26,English,Cis female,right-handed,1,16.9333333333333,47.4
485,control,2,4,6,high numbers,No.,20,English,Cis male,right-handed,1,10.7166666666667,97.2666666666667
486,guess,8,10,8,high numbers,no,30,English,Cis male,right-handed,1,10.8833333333333,50.95
489,control,1,9,10,high numbers,no,32,English,Cis female,right-handed,1,3.5,38.8833333333333
49,control,3,1,7,high numbers,this was intersting.,35,English,Cis female,right-handed,1,3.4,159.65
491,control,10,0,4,high numbers,no,23,English,Cis male,ambidextrous,1,3.5,36.2166666666667
494,guess,4,8,8,high numbers,"No, i did not have any issue with the study.",30,English,Cis male,right-handed,1,15.7833333333333,48.3666666666667
495,control,0,2,1,,nice study,34,English,Cis male,right-handed,1,2.83333333333333,61.5666666666667
496,guess,1,10,8,low numbers,,28,English,Cis male,right-handed,1,6.8,54.1833333333333
498,guess,1,10,9,high numbers,Everything was clear and understandable.,33,English,Cis male,right-handed,1,13.55,100.05
499,control,7,9,9,high numbers,Not at all,34,English,Cis male,right-handed,1,12.0833333333333,51.05
50,guess,2,7,4,high numbers,Not at all.,27,English,Cis male,right-handed,1,5.66666666666667,74.8166666666667
500,guess,4,3,6,high numbers,no,22,English,Cis female,right-handed,1,8.65,50.3333333333333
502,guess,0,0,8,high numbers,interesting study,24,English,Cis male,right-handed,1,6.08333333333333,38.4
503,control,2,8,3,high numbers,no,22,English,Cis male,right-handed,1,8.45,68.15
509,control,0,9,8,high numbers,"None, the task was clear",26,English,Cis male,right-handed,1,5.68333333333333,110.65
517,control,6,4,8,high numbers,,28,English,Cis female,right-handed,1,5.1,38.3
519,control,2,6,6,high numbers,Nothing at the moment,25,English,Cis male,right-handed,1,9.53333333333333,112.816666666667
52,guess,6,1,7,high numbers,,23,English,Cis male,right-handed,1,4.28333333333333,39.0666666666667
528,guess,4,7,10,high numbers,yes most of the numbers were big figures with many small figures,25,English,Cis female,right-handed,1,16.5166666666667,72.0333333333333
53,control,5,8,7,high numbers,,25,English,Cis male,right-handed,1,2.68333333333333,132.966666666667
532,guess,1,9,10,low numbers,no.,23,English,Cis male,right-handed,1,9.2,95.0
534,guess,5,5,6,low numbers,no,22,English,Cis male,right-handed,1,3.81666666666667,52.5166666666667
536,guess,4,8,2,high numbers,not applicable,22,English,Cis male,right-handed,1,10.7333333333333,56.9666666666667
537,control,1,8,10,low numbers,I understood the task,30,English,Cis female,right-handed,1,6.15,53.75
54,guess,8,7,8,high numbers,,20,English,Trans* woman,right-handed,1,3.21666666666667,49.5333333333333
541,control,8,2,10,high numbers,,24,English,Cis female,right-handed,1,2.41666666666667,87.4333333333333
544,guess,5,7,8,high numbers,"I found the task instructions generally clear, but at times, the rapid pace and the need to rely on intuition rather than precise calculation made it challenging to feel confident in my answers. It might help to provide an example or a brief practice round to clarify how to approach the educated guess strategy effectively. Additionally, the repetitive nature of the task occasionally made it harder to stay fully focused, which could have impacted my responses. Overall, the task was straightforward, but some fine-tuning of instructions or pacing could enhance the experience.",25,English,Cis male,left-handed,1,10.6,114.616666666667
548,guess,1,8,9,high numbers,No,27,English,Cis female,right-handed,1,8.2,52.1
549,control,4,5,10,high numbers,No comments.,23,English,Nonbinary,right-handed,1,3.06666666666667,37.5833333333333
556,guess,2,9,7,high numbers,I do not!,22,English,Cis male,right-handed,1,3.45,42.5666666666667
56,guess,6,9,5,high numbers,no,35,English,Cis female,right-handed,1,4.63333333333333,61.2833333333333
560,guess,0,10,9,high numbers,The study worked very well.,32,English,Cis female,right-handed,1,13.2333333333333,45.15
561,control,6,7,7,high numbers,,28,English,Trans* woman,right-handed,1,2.96666666666667,1149.2
565,control,0,7,3,high numbers,,27,English,Cis male,left-handed,1,5.43333333333333,65.6333333333333
566,guess,10,10,10,high numbers,,30,English,Cis male,right-handed,1,29.3833333333333,66.3
569,control,1,9,9,high numbers,The task  was enjoyable,31,English,Cis female,left-handed,1,8.01666666666667,95.7333333333333
570,guess,7,10,6,high numbers,Not at all,22,English,Cis female,right-handed,1,6.65,67.8
577,control,4,3,9,high numbers,,20,English,Cis female,right-handed,1,4.06666666666667,87.55
578,guess,5,7,8,high numbers,No please,23,English,Cis male,mixed-handed,1,5.78333333333333,61.75
580,guess,4,9,10,high numbers,No,27,English,Cis female,left-handed,1,5.21666666666667,37.6166666666667
582,guess,0,8,8,high numbers,This study was interesting.,34,English,Cis male,right-handed,1,17.1833333333333,48.9333333333333
594,guess,1,9,7,high numbers,"No, the task was conprehensible to me.",34,English,Cis female,right-handed,1,13.2833333333333,82.7666666666667
595,control,0,3,8,low numbers,None.,21,English,Cis female,right-handed,1,7.7,129.316666666667
60,guess,6,7,8,high numbers,no please,23,English,Cis male,left-handed,1,11.1666666666667,80.1833333333333
601,control,4,8,10,high numbers,,21,English,Cis male,right-handed,1,5.86666666666667,62.65
603,control,3,1,10,high numbers,none,34,English,Cis male,mixed-handed,1,8.5,52.3333333333333
604,guess,1,9,10,high numbers,It is interesting,24,English,Cis male,right-handed,1,9.35,80.9
606,guess,2,10,7,high numbers,"

Everything was clear, and I didn't encounter any issues during the study.",32,English,Cis male,right-handed,1,10.6833333333333,88.3
64,guess,0,10,8,high numbers,Everything was clear.,33,English,Cis female,right-handed,1,4.95,62.4833333333333
65,control,1,10,6,high numbers,,26,English,Cis male,right-handed,1,6.66666666666667,124.416666666667
66,guess,1,10,7,high numbers,No,21,English,Cis male,right-handed,1,7.35,138.116666666667
70,guess,3,8,7,high numbers,no,30,English,Cis male,right-handed,1,7.65,40.7666666666667
72,guess,6,5,6,high numbers,no,35,English,Cis male,right-handed,1,10.4,48.1333333333333
74,guess,0,10,5,high numbers,No,25,English,Cis male,right-handed,1,13.2833333333333,129.566666666667
78,guess,5,9,7,high numbers,,24,English,Cis female,mixed-handed,1,3.73333333333333,41.75
79,control,0,7,7,low numbers,,24,English,Cis female,right-handed,1,5.15,71.4333333333333
80,guess,2,10,10,low numbers,"The instructions were generally clear, but there were a few moments when I felt uncertain about whether I should focus on more than just the first digits to make my decision.",32,English,Cis female,right-handed,1,10.8833333333333,74.0166666666667
83,control,2,7,7,low numbers,,24,English,Cis male,right-handed,1,4.23333333333333,115.566666666667
85,control,3,7,5,high numbers,not at all,20,English,Cis female,right-handed,1,10.3333333333333,47.3
88,guess,7,7,4,low numbers,No,22,English,Cis male,right-handed,1,8.36666666666667,57.9666666666667
